sub	ses	model	params	beta	alpha	lambda	w	pi	rho	loglikelihood	bic	aic	latents
83	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36144184740374	2.72976738426835e-11	0.76772163637539				-69.3147181208457	152.444946799656	144.629436241691	0
84	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159952722447	1.14688967633776e-10	0.503444742500524				-68.6215708914344	151.058652340833	143.243141782869	0
89	1	ModelBased_NoStimSticky_NoRespSticky	3	3.3616009321977	4.77266495458286e-11	0.563286685832954				-68.6215708914382	151.058652340841	143.243141782876	0
90	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159880919477	2.5177608143346e-11	0.198168758930255				-68.6215708914309	151.058652340826	143.243141782862	0
93	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160062878272	4.00806114543695e-11	0.383711981846006				-68.6215708914343	151.058652340833	143.243141782869	0
95	1	ModelBased_NoStimSticky_NoRespSticky	3	3.403408396181	0.00123661319207149	0.499930464762171				-67.0480596575276	147.91162987302	140.096119315055	0
96	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159949717693	1.99815637153386e-11	0.344714676980269				-66.5421293537546	146.899769265474	139.084258707509	0
98	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159845870681	3.44274724668821e-11	0.802579218386086				-67.9284237144333	149.672357986831	141.856847428867	0
101	1	ModelBased_NoStimSticky_NoRespSticky	3	3.38040462984353	0.00136560107773052	0.500155628010075				-65.6066096277722	145.028729813509	137.213219255544	0
103	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36882150923439	0.00119919824797209	0.500022332995799				-64.614911233829	143.045333025622	135.229822467658	0
104	1	ModelBased_NoStimSticky_NoRespSticky	3	3.46754916243584	0.00443990165356503	0.49991152469247				-65.0735271926414	143.962564943247	136.147054385283	0
105	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160043619974	1.05769051266348e-09	0.499801102631477				-58.917510427595	131.650531413154	123.83502085519	0
106	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160121781441	4.04162894198027e-11	0.30237755553925				-62.3832462663929	138.58200309075	130.766492532786	0
107	1	ModelBased_NoStimSticky_NoRespSticky	3	3.3625940938326	0.000991396785331254	0.501078389023004				-65.7896314217236	145.394773401412	137.579262843447	0
109	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159878530971	1.78757282099425e-10	0.82958792826287				-64.4626878719959	142.740886301956	134.925375743992	0
111	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160054212622	2.61158821567744e-11	0.497041895392537				-68.6215708914345	151.058652340833	143.243141782869	0
112	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159393105251	4.35778065071229e-12	0.500281701596093				-69.3147180719948	152.444946701954	144.62943614399	0
113	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160598501397	1.56221109216003e-11	0.110107746160066				-68.6215708954166	151.058652348797	143.243141790833	0
114	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160193780597	9.10823078263747e-11	0.269292740814078				-63.7695406275129	141.35459181299	133.539081255026	0
115	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36724756718944	0.00167501031853278	0.500002274295847				-67.0237861649865	147.863082887937	140.047572329973	0
116	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160084375886	4.26106637984415e-12	0.76012736211528				-60.3038047247149	134.423120007394	126.60760944943	0
117	1	ModelBased_NoStimSticky_NoRespSticky	3	3.35842750449373	0.000806669887430391	0.500029322129468				-63.6350615884981	141.08563373496	133.270123176996	0
118	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160004753923	2.65904393449266e-11	0.819910313196771				-64.4626878120751	142.740886182114	134.92537562415	0
119	1	ModelBased_NoStimSticky_NoRespSticky	3	3.35966481134693	0.000865796758686789	0.49801002309949				-61.5435748820161	136.902660321996	129.087149764032	0
120	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160385312318	1.15306262657556e-11	0.513048950369882				-67.9284237108733	149.672357979711	141.856847421747	0
121	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159742110882	2.11204819545489e-11	0.423050719113634				-68.6215708954384	151.058652348841	143.243141790877	0
122	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36156619180681	1.62424005314353e-11	0.172932774924496				-65.1558349910076	144.12718053998	136.311669982015	0
123	1	ModelBased_NoStimSticky_NoRespSticky	3	3.37265977788312	0.00193313373264261	0.500461203112242				-63.1229292874434	140.061369132851	132.245858574887	0
124	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160043967656	4.7359386606997e-11	0.545682573870267				-63.076393446955	139.968297451874	132.15278689391	0
21	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159005858704	8.97721547325974e-07	0.00119313881378903				-65.1558350456925	144.127180649349	136.311670091385	0
39	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36160014305508	2.13792324820571e-10	0.76056384295761				-65.8489822331358	145.513475024236	137.697964466272	0
