sub	ses	block	earth_rt_mean	earth_rt_median	earth_n_miss	earth_p_miss	planet_rt_mean	planet_rt_median	planet_n_miss	planet_p_miss	reward_rate	avg_reward	reward_rate_corrected	prob_sameplanet_earthsame	prob_sameplanet_earthdif
93	1	b3	892.379	793.699	0	0.0	803.096	774.727	1	0.04	5.833	5.88	-0.047	0.5	0.4
93	1	b4	849.569	876.708	0	0.0	802.288	767.304	1	0.04	4.917	4.72	0.197	0.4	0.143
95	1	b1	678.436	531.997	1	0.04	483.912	453.021	1	0.04	4.667	4.3	0.367	0.538	0.273
95	1	b2	796.889	530.633	0	0.0	503.269	499.238	0	0.0	5.44	5.44	0.0	0.417	0.308
95	1	b3	648.444	539.389	1	0.04	499.412	462.537	1	0.04	3.5	3.48	0.02	0.429	0.3
95	1	b4	805.791	672.721	1	0.04	550.485	446.474	1	0.04	3.875	3.62	0.255	0.364	0.538
96	1	b1	1108.939	1162.956	2	0.08	574.103	551.286	2	0.08	3.478	3.58	-0.102	0.636	0.333
96	1	b2	1147.027	1192.552	1	0.04	625.137	552.359	1	0.04	3.292	3.24	0.052	0.333	0.444
96	1	b3	851.114	854.046	2	0.08	646.842	664.764	3	0.12	3.955	3.34	0.615	0.2	0.235
96	1	b4	964.579	1006.436	2	0.08	669.325	629.773	2	0.08	4.391	5.0	-0.609	0.364	0.667
98	1	b1	885.142	765.865	2	0.08	516.754	480.254	2	0.08	5.826	5.46	0.366	0.286	0.312
98	1	b2	752.15	739.268	0	0.0	686.318	556.354	1	0.04	4.917	5.08	-0.163	0.0	0.333
98	1	b3	928.979	859.35	3	0.12	745.874	639.43	3	0.12	2.318	2.34	-0.022	0.556	0.385
98	1	b4	820.674	772.994	0	0.0	771.011	703.928	0	0.0	5.12	5.1	0.02	0.286	0.545
101	1	b1	830.494	761.312	0	0.0	606.805	531.151	0	0.0	5.12	4.86	0.26	0.214	0.455
101	1	b2	891.858	744.671	1	0.04	570.5	502.918	2	0.08	5.087	5.18	-0.093	0.333	0.364
101	1	b3	939.069	1041.194	0	0.0	614.635	521.681	0	0.0	4.36	3.82	0.54	0.562	0.556
101	1	b4	1241.245	1252.875	0	0.0	692.087	537.653	0	0.0	5.88	5.3	0.58	0.571	0.545
103	1	b1	965.778	953.327	3	0.12	765.316	770.696	3	0.12	6.409	6.16	0.249	0.8	0.583
103	1	b2	983.401	941.444	0	0.0	628.414	524.084	0	0.0	4.08	3.76	0.32	0.5	0.471
103	1	b3	1137.303	1140.914	2	0.08	686.042	598.605	3	0.12	5.318	5.22	0.098	0.167	0.3
103	1	b4	1067.369	928.128	2	0.08	597.073	473.936	2	0.08	5.217	4.98	0.237	0.455	0.333
104	1	b1	1094.129	1074.673	5	0.2	971.478	871.932	7	0.28	4.111	4.78	-0.669	0.0	0.429
104	1	b2	1075.047	1039.276	1	0.04	928.824	730.827	2	0.08	5.435	5.9	-0.465	0.308	0.3
104	1	b3	952.21	960.135	0	0.0	795.927	546.017	2	0.08	5.043	5.42	-0.377	0.636	0.417
104	1	b4	763.212	699.126	0	0.0	548.112	545.485	2	0.08	3.0	3.28	-0.28	0.556	0.357
105	1	b1	417.372	390.444	1	0.04	474.208	412.834	2	0.08	3.304	3.52	-0.216	0.25	0.364
105	1	b2	674.168	490.811	2	0.08	638.936	640.118	2	0.08	3.652	3.44	0.212	0.615	0.3
105	1	b3	454.43	429.583	1	0.04	716.676	623.105	3	0.12	3.591	3.36	0.231	0.462	0.222
105	1	b4	580.865	377.498	0	0.0	591.744	467.564	0	0.0	4.64	4.64	0.0	0.5	0.6
106	1	b1	1377.68	1375.779	3	0.12	889.502	953.159	6	0.24	4.737	5.2	-0.463	0.667	0.7
106	1	b2	1286.953	1322.487	3	0.12	933.42	787.555	4	0.16	5.857	5.36	0.497	0.5	0.667
106	1	b3	1081.606	1095.309	4	0.16	906.73	791.931	4	0.16	4.762	4.98	-0.218	0.5	0.571
106	1	b4	1047.554	928.933	3	0.12	785.997	706.136	4	0.16	4.762	4.0	0.762	0.375	0.538
107	1	b1	1094.484	1012.387	2	0.08	665.915	612.053	5	0.2	4.35	4.62	-0.27	0.286	0.308
107	1	b2	1070.187	966.863	0	0.0	814.894	752.294	1	0.04	3.0	3.04	-0.04	0.455	0.462
107	1	b3	1073.737	883.167	0	0.0	1022.419	893.309	0	0.0	5.36	5.0	0.36	0.643	0.455
107	1	b4	1129.837	1099.492	0	0.0	783.917	724.414	2	0.08	2.739	2.4	0.339	0.545	0.583
111	1	b1	1025.234	930.789	4	0.16	768.426	745.723	6	0.24	6.421	6.2	0.221	0.333	0.3
111	1	b2	946.065	882.246	2	0.08	632.422	524.888	3	0.12	5.227	4.98	0.247	0.4	0.417
111	1	b3	1082.415	796.541	4	0.16	812.914	632.803	5	0.2	4.0	4.32	-0.32	0.556	0.364
111	1	b4	856.011	687.784	4	0.16	690.916	516.692	5	0.2	3.25	3.64	-0.39	0.0	0.538
112	1	b1	942.422	874.755	1	0.04	728.76	688.542	1	0.04	5.5	4.92	0.58	0.667	0.417
112	1	b2	922.562	970.784	0	0.0	699.191	666.414	1	0.04	5.0	4.48	0.52	0.583	0.417
112	1	b3	858.513	876.776	1	0.04	645.232	654.332	2	0.08	5.826	5.08	0.746	0.6	0.462
112	1	b4	900.771	877.525	1	0.04	596.13	623.129	1	0.04	5.958	5.12	0.838	0.643	0.5
113	1	b1	934.393	907.989	2	0.08	526.887	607.786	2	0.08	6.609	6.44	0.169	0.667	0.643
113	1	b2	1003.869	1031.903	0	0.0	419.319	429.135	0	0.0	4.8	4.04	0.76	0.7	0.533
113	1	b3	1044.59	1003.353	0	0.0	466.373	550.489	0	0.0	6.08	5.2	0.88	0.6	0.8
113	1	b4	1005.272	1000.155	0	0.0	256.835	163.596	1	0.04	5.458	4.1	1.358	0.727	0.846
116	1	b1	687.003	714.353	0	0.0	944.245	946.865	0	0.0	3.84	4.6	-0.76	0.533	0.7
116	1	b2	704.892	723.291	2	0.08	707.556	672.74	4	0.16	4.429	4.94	-0.511	0.333	0.417
116	1	b3	810.152	772.204	1	0.04	786.97	672.621	2	0.08	5.217	5.18	0.037	0.417	0.455
116	1	b4	823.972	739.936	0	0.0	703.696	661.192	0	0.0	3.44	3.42	0.02	0.417	0.154
117	1	b1	812.723	767.574	0	0.0	771.357	758.149	0	0.0	3.52	3.18	0.34	0.364	0.643
117	1	b2	970.028	900.984	0	0.0	783.475	736.913	0	0.0	4.72	4.06	0.66	0.667	0.474
117	1	b3	916.031	993.985	1	0.04	847.832	768.087	1	0.04	4.583	4.34	0.243	0.462	0.455
